matchnum,teamnum,Auto_Missed_High,Auto_Missed_Low,Auto_Mobility,Auto_High_Hot,Auto_High,Auto_Low_Hot,Auto_Low,Dead_Bot,Robot_Job,Catch,Truss,Possess_Number,Possession_Rating,3_Assist,2_Assist,Tele_High_Miss,Tele_High,Tele_Low_Miss,Tele_Low,Malfunction,Pickup_Rating,Defense_Rating,Driver_Rating,Tech_Fouls,Fouls,Goal_Defense,Human_Pass,ds
89,668,0,0,1,1,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,0,3,2,7,0,0,0,0,Blue4
6,668,0,0,1,1,0,0,0,0,3,0,0,2,6,0,0,1,1,0,0,0,6,4,5,0,0,0,0,Blue5
34,668,0,0,1,0,0,0,0,0,1,0,0,4,4,2,0,0,0,0,0,0,5,2,5,0,0,0,0,Blue5
67,668,0,0,1,1,0,0,0,0,3,0,0,4,5,2,0,1,1,0,0,0,2,3,6,0,0,0,0,Blue5
60,4765,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Red1
95,4765,0,0,1,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,4,3,4,0,0,0,1,Red1
46,4765,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,Red2
55,4765,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,Red3
2,4765,1,0,1,0,0,0,0,0,1,0,0,2,5,0,2,0,0,0,0,0,5,6,5,0,0,1,0,Blue4
38,4765,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue4
27,4765,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,4,3,0,0,0,0,Blue5
18,4765,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Blue6
73,4765,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Blue6
78,4765,0,0,1,0,1,0,0,0,1,0,0,2,6,2,0,0,0,0,2,0,4,1,5,0,0,0,0,Blue6
2,670,0,0,1,0,1,0,0,0,1,0,0,4,2,1,0,0,1,0,1,0,3,2,4,0,0,0,0,Red1
59,670,0,0,1,0,0,0,0,0,3,0,1,2,6,1,0,0,0,0,0,0,6,2,5,0,0,0,0,Red1
13,670,1,0,1,0,0,0,0,0,1,0,2,2,5,0,2,0,1,0,0,0,6,2,4,0,0,0,0,Red3
26,670,0,0,1,1,0,0,0,0,1,0,0,3,6,0,0,0,0,0,1,0,6,0,5,0,0,0,0,Red3
45,670,0,0,1,0,0,0,0,0,2,1,0,0,2,0,2,0,0,0,0,0,5,2,3,0,0,0,0,Blue4
31,670,0,0,1,0,1,0,0,0,1,0,1,4,5,3,1,0,0,0,0,0,5,2,4,0,0,0,0,Blue5
86,670,0,0,1,0,0,0,0,0,1,0,0,4,7,1,4,0,0,0,0,0,7,0,6,0,0,0,0,Blue5
94,670,0,0,1,0,1,0,0,0,3,0,1,2,6,1,0,0,0,0,0,0,6,6,5,0,0,0,0,Blue5
53,670,0,0,1,0,1,0,0,0,1,0,2,3,5,0,1,0,0,0,1,0,4,3,5,0,0,0,0,Blue6
75,670,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,7,1,4,0,0,0,0,Blue6
13,4255,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red1
70,4255,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red2
8,4255,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red3
36,4255,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red3
88,4255,0,0,1,0,0,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Red3
55,4255,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue4
82,4255,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,Blue4
20,4255,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue5
61,4255,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue5
98,4255,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,Blue5
42,4255,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Blue6
11,5171,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,Red1
46,5171,0,0,1,0,0,0,0,0,1,0,0,3,3,0,0,0,2,0,1,0,1,1,6,0,0,0,0,Red1
35,5171,0,0,1,0,1,0,0,0,1,0,0,1,8,0,0,0,0,0,1,0,1,1,3,0,0,0,0,Red2
29,5171,0,0,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,4,3,0,0,0,0,Red3
54,5171,0,0,1,0,1,0,0,0,1,0,0,3,4,1,2,0,0,0,0,0,2,2,2,0,0,0,0,Blue4
81,5171,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,0,Blue4
95,5171,1,0,1,0,0,0,0,0,3,0,1,3,2,0,2,0,1,0,0,0,1,1,2,0,0,0,0,Blue4
6,5171,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,Blue6
61,5171,0,0,1,0,1,0,0,0,3,0,0,2,3,0,0,0,0,0,1,0,1,3,5,0,0,0,0,Blue6
71,5171,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,1,0,Blue6
12,5026,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Red1
6,5026,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,Red2
24,5026,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Red3
31,5026,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,Red3
66,5026,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,Blue4
74,5026,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Blue4
42,5026,0,0,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,3,5,0,0,0,0,Blue5
87,5026,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue5
56,5026,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,Blue6
95,5026,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,Blue6
19,5027,0,0,1,0,0,0,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Red2
29,5027,0,0,1,1,1,0,0,0,1,0,2,4,8,0,2,1,2,0,0,0,7,0,6,0,0,0,0,Red2
42,5027,0,0,1,0,0,0,0,0,1,0,0,3,3,0,2,0,0,0,2,0,2,2,4,0,0,0,0,Red2
2,5027,0,0,1,0,0,0,0,0,2,0,0,2,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,Red3
53,5027,0,0,1,0,0,0,0,0,2,0,0,2,4,0,1,0,0,0,0,0,4,4,4,0,0,0,0,Red3
65,5027,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,Blue4
83,5027,0,0,1,0,1,0,0,0,1,0,0,2,7,0,1,0,0,0,0,0,7,2,7,0,0,0,0,Blue4
90,5027,0,0,1,0,0,0,0,0,1,0,0,3,4,1,1,0,0,0,2,0,7,1,7,0,0,0,0,Blue4
35,5027,0,0,1,0,1,0,0,0,1,0,0,2,2,0,2,0,0,0,1,0,2,2,3,0,0,0,0,Blue6
76,5027,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,5,0,0,0,0,Blue6
3,1700,0,0,1,0,1,0,0,0,1,0,0,1,5,0,1,1,1,0,0,0,5,4,4,0,0,0,0,Red1
37,1700,0,0,1,0,1,0,0,0,1,0,0,2,4,0,1,2,0,0,0,0,3,3,4,0,0,0,0,Red2
58,1700,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,3,1,5,0,0,0,0,Red2
100,1700,0,0,0,1,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,Red2
28,1700,0,0,1,0,0,0,0,0,1,0,1,2,6,1,0,0,0,0,0,0,7,0,5,0,0,0,0,Red3
46,1700,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,1,1,0,0,0,3,4,6,0,0,0,0,Red3
91,1700,0,0,1,0,1,0,0,0,1,0,0,3,7,3,0,0,0,0,0,0,7,4,6,0,0,0,0,Blue4
66,1700,0,0,1,1,0,0,0,0,1,0,1,2,5,0,3,0,0,0,0,0,4,2,6,0,0,0,0,Blue5
