matchnum,teamnum,Auto_Missed_High,Auto_Missed_Low,Auto_Mobility,Auto_High_Hot,Auto_High,Auto_Low_Hot,Auto_Low,Dead_Bot,Robot_Job,Catch,Truss,Possession_Rating,3_Assist,2_Assist,Tele_High_Miss,Tele_High,Tele_Low_Miss,Tele_Low,Pickup_Rating,Defense_Rating,Driver_Rating,Tech_Fouls,Fouls,Goal_Defense,Human_Pass,ds
15,1678,1,0,1,0,1,0,0,0,1,0,1,8,2,2,1,3,0,1,16,8,8,0,0,0,0,Blue6
23,4498,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,16,8,0,0,0,0,Red1
78,4498,0,0,1,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,4,8,4,0,0,0,0,Red1
50,4498,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,4,16,8,0,0,0,0,Red2
70,4498,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,32,32,0,0,0,1,Red2
2,4498,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,4,256,16,0,0,0,0,Red3
57,4498,0,0,1,0,0,0,0,0,3,0,0,16,0,1,0,0,0,0,64,32,64,0,0,0,0,Red3
39,4498,0,0,1,0,0,0,0,0,1,0,0,128,0,3,0,0,0,0,64,32,64,0,0,0,0,Blue4
92,4498,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,16,32,0,0,0,0,Blue4
11,4498,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,8,16,0,0,0,0,Blue5
83,4498,0,0,1,0,0,0,0,0,2,0,0,4,0,2,0,0,0,0,4,4,8,0,0,0,0,Blue5
101,4498,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,8,8,8,0,0,0,0,Blue6
99,3859,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,256,64,0,0,0,0,Red1
74,3859,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,16,0,0,1,0,Red2
87,3859,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,32,16,0,0,1,0,Red2
8,3859,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,64,8,0,0,1,0,Red3
41,3859,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red3
64,3859,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,64,8,1,0,1,0,Red3
46,3859,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,64,16,0,0,0,0,Blue4
57,3859,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,16,32,0,0,0,0,Blue5
16,3859,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,32,2,0,0,1,0,Blue6
21,3859,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,128,32,0,0,0,0,Blue6
35,3859,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,256,32,0,1,1,0,Blue6
57,2073,0,0,1,1,0,0,0,0,3,0,1,16,0,0,1,1,0,1,32,16,32,0,0,0,0,Red1
37,2073,0,0,1,0,0,0,0,0,3,0,0,128,0,1,0,1,0,1,128,64,128,0,0,0,0,Red2
47,2073,0,0,1,1,0,0,0,0,1,0,3,16,0,3,0,0,0,0,16,32,16,0,0,0,0,Red2
64,2073,0,0,1,1,0,0,0,0,1,0,0,16,0,3,2,1,1,1,8,1,4,0,0,0,0,Red2
9,2073,0,0,1,0,1,0,0,0,1,0,1,16,0,0,0,1,0,2,32,2,16,0,0,0,1,Red3
83,2073,0,0,1,0,0,0,0,0,1,0,0,32,0,3,0,0,0,0,32,4,16,0,0,0,0,Red3
96,2073,0,0,1,0,1,0,0,0,3,0,1,32,0,0,0,0,1,1,64,8,32,0,0,0,0,Blue4
15,2073,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,32,8,32,0,0,0,1,Blue5
25,2073,0,0,1,0,0,0,2,0,3,0,1,8,0,1,0,0,1,1,4,8,32,0,0,0,0,Blue5
73,2073,0,0,1,0,0,0,0,0,1,0,0,16,0,1,0,0,0,0,16,16,16,0,0,0,0,Blue5
4,3598,0,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,8,0,0,0,0,Red1
55,3598,0,1,1,0,0,0,0,0,3,0,0,16,0,0,0,0,1,1,16,4,32,0,0,0,1,Red1
101,3598,0,0,1,0,0,0,1,0,1,0,1,4,0,1,0,0,0,0,8,2,8,0,0,0,0,Red1
36,3598,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red2
10,3598,0,0,1,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,16,2,8,0,0,0,0,Red3
64,3598,0,0,1,0,0,0,0,0,1,0,1,4,0,0,2,1,0,1,2,1,2,0,0,0,0,Blue4
27,3598,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,8,2,8,0,0,0,0,Blue5
79,3598,0,0,1,0,0,0,0,0,1,0,0,16,3,0,0,0,0,0,8,16,32,0,0,0,0,Blue5
93,3598,0,0,1,0,0,0,0,0,3,0,0,16,0,0,0,0,0,4,32,32,64,0,0,0,0,Blue5
43,3598,0,0,1,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,2,2,8,0,0,0,0,Blue6
48,3598,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,16,32,16,0,0,0,0,Blue6
14,2204,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,Red1
62,2204,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,Red1
28,2204,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red2
54,2204,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,Red2
75,2204,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,32,8,0,0,0,0,Red2
