(matchnum, 22), (teamnum, 2367), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 1), (Robot_Job, 4), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 0), (Defense_Rating, 0), (Driver_Rating, 0), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 23), (teamnum, 1458), (Auto_Missed_High, 1), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 3), (Catch, 0), (Truss, 2), (Possess_Number, 2), (Possession_Rating, 4), (3_Assist, 2), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 16), (Defense_Rating, 16), (Driver_Rating, 8), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 24), (teamnum, 4171), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 3), (Catch, 0), (Truss, 0), (Possess_Number, 2), (Possession_Rating, 32), (3_Assist, 0), (2_Assist, 2), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 64), (Defense_Rating, 32), (Driver_Rating, 64), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 25), (teamnum, 846), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 3), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 8), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 1), (Tele_High, 2), (Tele_Low_Miss, 0), (Tele_Low, 1), (Malfunction, 0), (Pickup_Rating, 128), (Defense_Rating, 64), (Driver_Rating, 64), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 26), (teamnum, 2489), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 1), (Robot_Job, 2), (Catch, 0), (Truss, 0), (Possess_Number, 1), (Possession_Rating, 8), (3_Assist, 0), (2_Assist, 1), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 64), (Defense_Rating, 32), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 27), (teamnum, 668), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 1), (Robot_Job, 4), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 1), (Pickup_Rating, 2), (Defense_Rating, 8), (Driver_Rating, 8), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 28), (teamnum, 4990), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 1), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 1), (Dead_Bot, 0), (Robot_Job, -1), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 4), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 2), (Malfunction, 0), (Pickup_Rating, 32), (Defense_Rating, 16), (Driver_Rating, 32), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 29), (teamnum, 2643), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 1), (Robot_Job, 3), (Catch, 0), (Truss, 1), (Possess_Number, 0), (Possession_Rating, 1), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 8), (Defense_Rating, 64), (Driver_Rating, 64), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 30), (teamnum, 701), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 0), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 1), (Robot_Job, 0), (Catch, 0), (Truss, 0), (Possess_Number, 0), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 0), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 0), (Defense_Rating, 0), (Driver_Rating, 0), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
(matchnum, 31), (teamnum, 846), (Auto_Missed_High, 0), (Auto_Missed_Low, 0), (Auto_Mobility, 0), (Auto_High_Hot, 0), (Auto_High, 1), (Auto_Low_Hot, 0), (Auto_Low, 0), (Dead_Bot, 0), (Robot_Job, 1), (Catch, 0), (Truss, 0), (Possess_Number, 3), (Possession_Rating, 0), (3_Assist, 0), (2_Assist, 0), (Tele_High_Miss, 0), (Tele_High, 2), (Tele_Low_Miss, 0), (Tele_Low, 0), (Malfunction, 0), (Pickup_Rating, 32), (Defense_Rating, 16), (Driver_Rating, 64), (Tech_Fouls, 0), (Fouls, 0), (Goal_Defense, 0), (Human_Pass, 0), 
